"","DNA","rpkm.f67","rpkm.m68","rpkm.f69","rpkm.m70","Assembly","GenBank.Accession.version","NCBI.name","chr"
"43","gene7030",267.415955985926,313.50516430164,281.603470120632,337.116631219263,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"44","gene7031",223.239192771211,215.840166974099,207.648323906213,234.135126040757,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"45","gene7147",13645.9309165317,15242.8644861052,11985.0504008942,13332.4314279592,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"46","gene7148",77.7975359135233,98.2571630354064,72.0463755314659,96.0944182181865,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"47","gene7149",4.53752669843275,4.99496520529894,4.96610795583712,12.280337525888,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"48","gene6925",1300.23135694809,1208.97632638541,1399.82613897704,1187.70372675445,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"49","gene7036",2.93284713356768,4.05552276516962,2.68198036244783,1.71861203233235,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"50","gene7151",3.6300213587462,4.28139874739909,2.86506228221372,12.423132148282,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"51","gene7152",204.095308378959,197.919483459243,225.101326556766,205.218257017899,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"52","gene7153",3.80694292118467,3.34554043415348,2.73368869463905,5.28544266741966,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"53","gene7154",45.1291638413616,41.0703858183882,42.9187408995119,43.3950437207669,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"54","gene7040",245.418319021142,262.196143318168,164.513178545749,263.833348200045,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"55","gene7156",748.99066665926,790.359774252765,511.901165067996,719.418729455472,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"56","gene7157",6.65655166660084,3.14040598121723,9.52690510081707,9.63606670839503,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
