 names SAM_wt_rep2 SAM_wt_rep1 SAM_sdE3_rep2 SAM_sdE3_rep1 ORE_wt_rep2 ORE_wt_rep1 ORE_sdE3_rep2 ORE_sdE3_rep1 HYB_wt_rep2 HYB_wt_rep1 HYB_sdE3_rep2 HYB_sdE3_rep1
C15981	0	3	3	0	8	0	3	3	0	0	0	0
C15983	0	0	3	3	0	0	0	8	0	0	0	3
C15985	1	0	0	0	0	1	1	0	1	1	0	0
C15987	0	0	4	8	0	7	4	0	4	4	3	0
C15989	0	0	2	0	2	0	0	0	0	2	2	0
C15991	369	1041	520	1138	1240	1133	703	1139	974	658	799	741
C15993	23	47	48	52	60	70	45	70	93	48	64	42
C15995	3	6	0	7	3	3	19	3	0	3	0	3
C15997	6	0	9	10	23	17	19	9	0	13	0	0
C15999	21	127	107	91	105	106	135	112	177	75	101	77
C16001	90	125	67	70	205	232	218	310	0	0	0	0
C16003	11	0	8	13	0	4	0	0	4	0	0	11
C16005	3	0	0	0	2	0	0	2	5	0	0	0
C16007	5	32	15	17	23	22	42	27	24	6	7	9
C16009	13	16	0	18	33	22	22	0	5	0	5	5
C16011	227	427	461	283	386	383	341	406	426	343	239	293
C16013	4	0	0	0	11	0	17	5	0	0	10	5
C16015	3	3	0	3	2	3	5	5	10	0	2	0
C16017	37	20	34	8	34	33	36	25	54	18	32	24
C16019	4	0	8	9	7	8	0	15	4	0	11	0
C16021	10	10	11	13	2	10	29	14	10	15	7	13
C16023	33	24	22	32	3	3	0	0	58	35	25	53
C16025	0	0	0	4	5	3	7	0	10	8	0	0
C16027	4	7	7	0	9	3	0	3	10	7	3	3
C16029	0	5	5	5	3	0	0	4	5	0	8	0
C16031	3	15	4	11	6	25	0	31	10	4	7	7
C16033	3	0	5	0	3	0	0	5	10	0	4	5
C16035	7	5	4	5	0	0	0	13	4	0	4	0
C16037	2	3	0	0	0	0	5	0	5	0	0	0
C16039	0	4	0	0	0	4	0	3	11	5	9	3
C16041	3	0	11	10	0	0	0	0	57	30	22	20
C16043	4	5	15	0	4	5	0	0	24	25	14	0
C16045	0	0	5	6	0	0	5	0	0	0	0	0
C16047	0	3	0	0	3	3	0	3	3	3	0	3
C16049	0	0	4	0	3	4	0	4	0	0	4	0
C16051	19	48	38	34	49	43	40	40	51	33	23	17
C16053	5	11	15	11	8	0	5	0	48	11	18	5
C16055	2545	5286	3477	4631	6479	3875	4328	6086	5773	3891	4295	3997
C16057	0	6	0	4	4	4	2	4	0	2	2	2
C16059	2	0	3	0	0	0	0	0	8	3	7	3
C16061	0	0	0	0	3	6	0	3	0	4	3	0
C16063	7	36	31	20	28	42	38	53	49	20	31	32
C16065	15	41	37	35	48	37	43	58	41	24	53	29
C16067	0	4	0	0	0	0	4	4	4	0	4	0
C16069	8	23	17	19	0	0	0	5	40	0	14	32
C16071	272	534	515	275	364	630	486	477	723	521	452	444
C16073	85	69	89	78	102	47	32	53	210	110	185	122
C16075	14	19	27	40	30	48	17	20	29	25	29	31
C16077	0	7	0	0	0	0	0	0	4	0	0	0
C16079	0	0	7	0	0	3	0	3	0	0	3	0
C16081	0	5	0	5	2	2	0	5	5	1	0	2
C16083	2	5	5	3	2	3	0	2	5	0	0	2
C16085	0	4	0	0	0	0	0	0	16	9	0	4
C16087	5	30	10	35	11	19	33	69	20	14	23	9
C16089	17	43	52	28	40	26	31	38	63	18	35	20
C16091	4	4	0	0	7	4	5	0	0	0	0	4
C16093	0	4	0	0	4	0	7	2	0	0	0	0
C16095	3	6	4	2	6	5	6	5	8	5	17	9
C16097	0	0	1	1	1	1	0	1	2	1	2	1
C16099	387	912	682	782	822	712	627	923	1067	831	607	530
C16101	60	110	99	68	82	41	97	90	149	91	78	54
C16103	5	5	8	3	2	3	11	10	12	0	7	2
C16105	0	3	0	0	2	0	0	3	3	0	0	0
C16107	2	0	0	0	11	6	0	5	0	0	0	0
C16109	5	5	10	2	2	2	5	2	12	14	9	7
C16111	0	42	0	22	33	10	27	34	21	13	27	15
C16113	15	12	0	14	20	11	24	0	0	0	0	0
C16115	4	0	0	4	0	8	0	0	8	4	8	0
C16117	0	3	3	0	0	0	0	3	10	0	0	0
C16119	0	0	13	0	0	0	26	13	12	0	0	13
C16121	3	4	0	5	0	0	0	4	4	0	0	0
C16123	14	24	23	12	45	43	31	62	0	0	0	4
C16125	0	0	2	0	0	0	0	0	4	0	0	0
C16127	0	0	3	0	0	0	0	0	10	3	10	3
C16129	187	349	334	211	321	467	394	449	400	298	175	218
C16131	23	58	27	9	69	48	17	22	31	36	24	14
C16133	0	3	0	3	0	0	0	3	3	0	0	0
C16135	27	29	15	22	32	15	32	33	33	20	26	25
C16137	0	0	4	0	6	0	4	4	8	0	4	0
C16139	2	8	0	0	2	5	0	5	3	0	2	3
C16141	11	9	8	9	15	32	26	62	24	10	20	22
C16143	10	6	0	0	10	5	0	10	27	7	4	5
C16145	3	13	0	3	0	12	9	9	12	4	3	9
C16147	0	21	6	16	12	14	9	42	35	23	18	2
C16149	0	0	12	13	11	0	13	6	0	0	0	0
C16151	7	0	0	0	0	0	9	0	4	0	4	4
C16153	0	5	5	10	11	5	5	9	0	11	5	4
C16155	34	47	53	46	26	34	64	98	69	52	58	54
C16157	11	26	9	20	14	8	18	82	49	24	33	40
C16159	46	143	102	111	126	154	138	208	124	83	63	83
C16161	0	2	2	2	2	0	0	0	5	5	2	2
C16163	2	13	7	11	2	7	21	17	21	16	13	5
C16165	50	78	47	76	104	81	108	108	18	36	45	54
C16167	0	0	0	4	9	0	8	4	0	5	0	8
C16169	2	2	2	0	0	0	0	0	2	2	2	0
C16171	2	0	0	2	5	2	0	3	2	1	2	0
C16173	12	36	46	63	71	49	41	54	45	47	29	31
C16175	0	6	0	0	8	0	6	0	17	0	0	0
C16177	0	0	0	0	0	0	0	0	4	0	0	9
C16179	3	0	3	3	5	3	6	6	3	0	0	0
C16181	4	20	19	29	22	23	29	37	69	18	28	36
C16183	101	164	89	45	143	100	113	145	96	110	80	62
