tracking_id,Hyb_vg_0,Hyb_vg_1,Hyb_wt_0,Hyb_wt_1,ORE_vg_0,ORE_vg_1,ORE_wt_0,ORE_wt_1,SAM_vg_0,SAM_vg_1,SAM_wt_0,SAM_wt_1
XLOC_000052,17.6527,17.8028,15.8325,17.3145,17.231,18.1871,17.7671,16.8187,18.3556,17.3778,15.7629,16.6054
XLOC_000053,25.1889,23.3053,28.2178,30.0336,25.9155,26.7026,24.0903,24.5408,19.5713,26.2093,23.3666,24.2189
XLOC_000054,0.306367,0.162854,0,0,0.357525,0.173949,0.459093,0.366697,0.253851,0.160631,0,0
XLOC_000055,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000056,0.0491971,0.0261508,0,0,0,0,0,0.0391343,0,0,0,0.0440125
XLOC_000057,71.6135,83.6614,72.4305,81.817,75.1443,97.213,85.0154,95.8576,101.727,80.773,69.0607,80.7748
XLOC_000058,0.0652989,0,0.160224,0.0635708,0,0,0,0.104076,0.108537,0.136818,0,0
XLOC_000059,1.52555,3.47131,5.41073,1.91049,69.2956,139.314,2.87891,2.36387,2.92949,4.72168,5.00433,9.87744
XLOC_000060,0.0293083,0.0467351,0.0478044,0.0141994,0.0221631,0.0960721,0.0301746,0.0232223,0.0246913,0.0458616,0.0423581,0.0913301
XLOC_000061,0.0103174,0,0,0,0.0171569,0,0,0,0,0,0,0
XLOC_000062,0.0779378,0.0414227,0.0636506,0.0756908,0.119186,0.0432213,0.0528603,0.0309615,0.0326158,0,0.150231,0.0348131
XLOC_000063,31.3506,36.6349,35.6623,39.8341,30.6688,41.2225,35.8993,35.9272,32.8635,40.5193,30.3104,33.1702
XLOC_000064,0,0.00711167,0.0109108,0,0,0,0.0183782,0.0105997,0.0112757,0,0,0
XLOC_000065,0.103845,0.0551991,0.0424352,0,0,0.0580534,0.0349942,0.0826303,0.0433064,0,0,0
XLOC_000066,7.99603,9.0196,8.23044,9.08763,6.87431,10.1782,8.31115,9.91266,7.50699,9.00335,6.45332,7.58096
XLOC_000067,0.141274,0.0750918,0.0432102,0,0.0802309,0.231972,0.0968226,0.111974,0.17838,0.0737045,0.0340308,0.0585215
XLOC_000068,86.1343,84.3993,106.937,93.1002,74.9189,95.6518,100.094,129.401,89.5266,87.3086,85.1211,94.1566
XLOC_000069,9.35552,9.68067,10.9397,10.8988,6.51914,10.0237,9.75261,11.2425,8.4904,9.77162,7.23518,9.0268
XLOC_000070,47.8631,42.5179,54.6385,49.8089,41.3899,48.1373,40.8905,56.5174,33.7213,46.8124,38.8921,44.7848
XLOC_000071,30.0584,28.9758,29.8255,33.2882,28.5153,33.1339,26.5012,34.2141,20.8793,29.3168,23.3508,22.6728
XLOC_000072,39.6501,40.3201,44.7554,52.6504,32.4773,39.5546,37.9536,38.624,27.584,43.0971,41.4652,40.9409
XLOC_000073,74.8308,58.4724,57.6709,47.5373,120.321,39.0704,51.4605,38.6829,33.2323,59.123,69.3707,46.6749
XLOC_000074,36.0183,40.2241,39.9529,42.7108,35.2604,47.9088,39.2682,45.6183,40.1036,39.3904,35.4064,40.194
XLOC_000075,48.4011,47.6046,50.3261,51.4161,45.7131,48.8988,51.1106,47.0108,38.6645,46.5519,47.1812,44.6376
XLOC_000076,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000077,0.308793,0,0,0.927014,0,1.58813,0,0.254892,0,0,0,0
XLOC_000078,0.209716,0.111898,0,0,0,0.25824,0,0.170383,0,0,0,0
XLOC_000079,0.231536,0.205126,0.0631672,0.150438,0,0.26302,0.102773,0,0,0.0809347,0.0744192,0
XLOC_000080,0,0.0194904,0,0,0,0,0,0,0.0308609,0.0191319,0.0176657,0.0326636
XLOC_000081,15.3852,19.8669,12.0482,10.4402,17.4387,21.3427,10.6389,9.63682,12.0454,14.7712,8.78712,8.17244
XLOC_000082,0,0.00408716,0.00626857,0.00744601,0,0.0334655,0.00529601,0.00608788,0.0129806,0.0160339,0.0148163,0.0136792
XLOC_000083,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000084,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000085,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000086,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000087,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000088,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000089,0.119406,0,0,0.116859,0,0.139354,0,0.0957718,0.195722,0,0,0
XLOC_000090,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000091,0.0362039,0.0192439,0.0886863,0,0.0552938,0.0400854,0,0,0.0303237,0,0,0
XLOC_000092,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000093,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000094,0.0387446,0.0411891,0,0.0376263,0,0.0859321,0.0262806,0.0307832,0,0,0.0373417,0.103834
XLOC_000095,0.153211,0,0.0312797,0,0.117111,0.0849288,0.0779594,0.0304306,0,0,0.0738313,0
XLOC_000096,5.01916,8.7355,3.11786,4.9073,4.13307,8.27452,4.31168,5.30536,6.66186,4.2482,4.10547,4.43348
XLOC_000097,22.5423,17.8896,21.3513,16.4912,23.4235,14.3754,15.968,15.3819,12.7808,16.2601,27.0607,18.1022
XLOC_000098,101.641,102.456,102.384,116.265,91.4931,99.8724,109.012,105.53,85.7668,120.907,88.7408,96.995
XLOC_000099,37.8865,34.8374,48.8963,56.4488,49.3846,47.4001,43.4857,50.9145,29.1267,44.0478,38.3188,38.2597
XLOC_000100,65.7597,64.2115,78.8756,91.1017,61.9181,69.6547,66.7557,73.6535,41.7357,64.186,62.6774,58.006
XLOC_000101,37.3474,38.0687,41.4798,43.1461,41.9571,41.6789,38.5595,34.4414,31.5115,37.4231,38.7532,32.5322
XLOC_000102,1.83381,2.85446,1.26614,1.88124,1.93581,2.36159,1.18513,1.56492,1.88975,1.57374,1.03938,1.08251
XLOC_000103,0,0,0.132579,0,0,0,0,0,0,0,0,0
XLOC_000104,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000105,0,0,0,0,0,0.00825156,0,0,0,0,0,0
XLOC_000106,0,0,0,0,0,0,0,0.0383344,0,0,0,0
XLOC_000107,8.89959,9.44327,8.43265,9.5722,9.16847,10.0707,8.82206,9.40717,10.2086,9.02844,8.98412,9.58835
XLOC_000108,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000109,122.696,111.266,113.872,96.533,115.126,90.4921,78.3611,87.0844,75.6294,82.6636,100.27,94.9942
XLOC_000110,17.6576,14.7113,14.3298,12.5674,17.9051,12.1596,10.9678,13.0479,10.1044,13.1452,17.0947,14.7476
XLOC_000111,27.5177,29.5736,29.6475,29.1632,22.2937,25.496,25.9174,29.839,26.8487,27.1509,29.6047,33.5734
XLOC_000112,27.1369,23.4361,23.7957,21.1021,31.9859,30.5269,23.7603,22.0056,16.8802,23.0012,21.4901,20.4895
XLOC_000113,0.0407011,0.0216345,0.0997283,0.0395335,0,0.0451904,0,0.0323448,0,0,0.0392282,0.145475
XLOC_000114,0,0,0,0,0,0,0,0,0,0,0,0
